"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"AC007679.3",0,2,0,0,0,1,0,0,3,0,3,7,0,5,0,3,2,5,0,0,4,0,8,3,1,0,3,0,2,0,14,6,1,4,1,0,3,0,8,0,6,0,0,0,3,3,7,4,4,1,1,2,5,0,1,2,4,1,0,4,0,1,1,2,0,0,0,3
"AC016735.2",426,0,0,73,148,442,6,613,2,8,3,5,16,0,9,4,0,1,1,0,3,0,1,10,0,2,2,0,2,0,23,2,1,2,2,0,0,2,0,5,0,0,30,0,0,4,3,0,1,1,0,0,1,8,0,1,1,1,0,195,2,6,0,1,2,3,6,7
"AC097467.2",40,1,0,4,117,10,159,17,14,82,0,1,0,13,48,6,5,1,55,0,8,0,4,36,1,472,8,2,9,0,4,5,405,4,0,193,0,68,0,43,0,15,54,2,0,6,0,1,2,0,0,0,2,27,0,0,1,3,81,14,127,1,9,1,1,39,145,7
"AC105402.3",5,18,0,0,0,0,5,1,14,4,22,8,1,23,0,10,4,4,0,0,17,0,8,0,22,1,8,37,5,0,2,17,1,59,29,0,8,1,26,0,70,10,0,26,18,70,37,53,4,30,31,12,19,0,27,37,46,30,2,2,0,6,10,49,20,15,1,24
"AFAP1-AS1",767,5,1049,177,463,94,7,57,10,20,14,2,32,3,5,7,1,2,2,1,3,0,5,8,1,15,2,6,8,8,5,2,0,2,0,11,7,4,2,13,0,6,29,5,7,2,0,2,3,1,5,4,2,25,0,1,4,1,12,35,21,125,0,3,2,16,47,11
"APOC3",9,10,18,6,4,33,21,35,20,17,78,38,15,17,16,14,28,11,10,11,22,22,162,20,18,11,14,14,23,18,33,8,9,23,11,3,6,3,4,3,9,16,14,9,7,7,8,12,2,7,9,3,8,2,23,8,90,8,10,749,7,15338,36,37,8,1044,41,219
"ART1",3,3,0,0,2,1,1,2,1,0,0,3,0,2,2,2,0,1,1,2,2,0,50,6,116,0,6,1,8,1,1,8,1,9,2,1,36,1,6,1,1,7,3,3,40,3,7,86,0,0,3,0,32,0,5,2,1,2,0,0,0,0,1,0,1,6,0,0
"CD300E",80,5,95,2,2155,31,491,9435,33,189,3,8,1409,3,61,8,4,15,89,3,51,0,12,160,4,96,7,14,23,10,18,7,100,5,6,306,7,80,14,240,17,36,914,7,26,14,3,15,3,4,8,1,15,1238,3,8,9,1,43,205,207,10,7,57,46,107,311,36
"CSF3",4,1,1,0,1173,0,422,4913,13,232,0,1,2068,6,37,4,0,1,12,3,4,0,4,119,1,77,4,3,6,1,4,2,21,1,3,69,1,6,0,202,0,4,1322,0,3,2,1,0,0,1,1,0,6,1473,0,1,2,1,32,49,93,2,8,0,1,47,73,1
"CXorf27",0,0,0,8,0,0,7,1,0,0,0,2,0,2,6,0,2,0,6,0,0,0,6,1,0,31,0,0,0,0,0,0,13,8,0,16,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,1,0,0,4,9,0,3,2,0,2,312,0
"DEFA5",10171,126,18391,628,46545,17177,457,1011,292,1035,206,184,148,435,1161,1588,205,269,17856,156,244,17,567,177,126,497,439,280,282,148,662,121,1186,236,68,71,606,2527,61,131,138,554,1987,127,135,99,90,130,18,47,93,101,107,79,132,176,1144,91,179,12079,505,134808,1225,528,209,23821,7004,5906
"DEFB129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"FAM43B",1,0,0,0,0,1,1,8,4,3,3,0,26,3,4,0,4,7,1,1,1,0,5,5,0,1,2,5,3,7,4,2,0,2,1,1,2,2,4,1,1,3,2,0,4,1,1,6,1,0,0,1,0,0,2,0,2,3,3,2,0,0,3,0,3,1,1,0
"ITLN2",925,11,2486,79,3122,1917,31,73,18,92,23,24,7,13,197,67,14,12,22556,14,28,1,38,46,15,34,27,19,17,11,23,5,340,16,4,95,12,340,8,60,11,35,140,27,10,7,11,8,5,8,10,5,6,16,10,12,54,13,214,344,233,6530,31,31,16,827,1000,447
"LCN15",25,115,8,10,12,8,29,19,107,31,25,221,0,90,93,17,26,467,8,973,30,4,413,135,485,13,142,43,24,14,223,785,4,121,138,42,233,2,51,25,37,36,9,48,350,40,197,163,210,76,99,37,148,19,109,130,51,40,2,34,5,20,19,76,15,24,3,97
"MMP1",480,97,1633,425,12778,2878,7250,150099,404,4210,71,635,272760,34,1961,53,1396,157,1801,188,153,28,87,4043,32,6106,29,251,181,175,51,50,772,60,58,5846,60,709,101,3804,468,240,50250,43,114,125,34,111,53,149,106,49,330,30015,116,133,89,57,3408,4486,1816,607,141,658,1076,1149,6882,219
"MMP13",3,0,0,0,58,3,33,2763,12,5,0,5,7884,1,6,0,1,1,4,0,3,0,0,19,0,28,4,1,6,5,0,0,7,7,1,24,0,4,1,16,2,10,115,0,0,0,0,4,4,2,1,2,3,83,1,1,0,0,2,40,10,7,7,5,4,12,34,2
"MT1HL1",1,0,0,1,1,0,1,0,5,1,17,2,2,5,5,2,7,2,0,3,8,0,10,5,2,0,5,2,1,1,3,6,0,7,1,2,5,0,1,0,0,2,1,1,2,1,3,4,1,7,3,1,3,0,1,1,6,7,0,1,1,4,2,3,5,2,0,0
"NMUR2",7,2,13,2,287,1,0,23,0,0,0,9,0,0,27,0,0,1,0,0,2,0,1,1,0,2,0,0,0,0,3,0,11,1,0,4,0,0,0,0,5,4,97,1,0,0,0,1,1,2,1,0,0,5,0,2,1,0,0,74,5,0,0,2,3,1,11,0
"NPSR1",60,0,468,55,273,736,8,67,14,26,6,5,4,10,3,15,5,0,4,1,8,0,7,16,0,3,2,0,1,0,4,3,6,0,1,0,3,16,1,1,4,3,6,0,1,0,0,3,0,1,1,0,3,0,0,0,1,21,4,173,0,0,1,1,0,0,3,3
"PLA2G2F",11,18,0,5,8,0,13,10,16,18,4,29,2,17,24,5,7,4,3,5,2,0,99,2,10,1,4,155,51,2,94,227,10,16,8,3,3,8,13,3,9,13,8,5,37,21,5,14,17,1,3,3,36,6,0,2,13,6,5,8,5,0,11,8,8,6,5,176
"REG1A",3402,186,2702,195,60059,4211,7372,4346,295,5097,209,158,2438,235,12283,821,163,151,10253,199,218,28,737,230,144,678,191,163,190,205,1369,137,3494,340,47,220,49,3862,50,16284,107,406,139990,137,137,174,147,203,15,90,129,67,98,11974,118,357,545,103,5746,7159,2432,51766,2309,293,203,15490,31754,5890
"REG1B",430,59,102,52,8248,714,1843,1034,107,324,35,30,306,90,584,198,68,60,2753,72,60,8,255,82,38,39,63,64,77,71,401,57,1090,164,14,27,11,326,15,2942,39,51,22443,35,42,69,32,56,4,21,36,25,30,1466,31,111,150,34,934,1790,267,4447,641,56,76,2004,7043,713
"RN7SL23P",2,1,0,1,0,0,0,3,2,4,1,5,5,0,4,3,0,0,0,2,2,0,2,1,3,2,2,2,2,3,3,7,0,5,0,3,6,1,3,0,7,7,0,2,0,4,0,3,3,2,1,0,1,0,5,0,1,0,0,3,0,3,3,0,7,2,1,1
"RP11-738O11.13",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,4,9,3,2,4,7,0,5,8,3,0,2,9,2,11,0,7,0,3,3,1,3,0,5,0,0,3,1,4,1,3,1,2,4,0,6,3,1,0,2,3,4,4,2,0,0,0,0,6,2,1,0,4
"RP11-776A13.1",0,2,0,0,0,0,2,3,0,0,0,8,0,5,1,2,2,0,1,0,6,0,0,0,0,0,5,6,15,0,0,4,0,9,0,1,5,2,1,0,1,1,0,9,18,23,2,0,7,0,0,1,3,1,0,8,18,28,0,3,0,0,9,6,7,1,2,23
"RP11-798K3.2",2,17,2,3,0,4,0,3,21,1,9,6,2,4,0,2,3,21,0,22,16,0,44,1,34,0,33,21,7,10,29,15,1,9,2,0,10,0,20,1,14,2,0,0,34,25,25,23,22,11,5,37,6,0,11,27,16,26,0,0,0,195,8,10,4,6,0,9
"SELE",130,8,82,14,4603,24,750,11293,88,573,7,8,2048,9,326,30,13,15,233,30,29,0,11,263,4,207,6,15,144,24,11,30,60,20,13,342,11,50,20,1475,36,68,2528,20,58,17,20,18,4,7,15,6,24,3933,14,19,6,14,269,422,434,24,24,44,85,106,221,29
"SERPINB7",61,3,3,4,10815,2,343,701,13,161,1,4,15,2,32349,26,4,0,7,2,8,0,1,87,1,649,32,0,4,2,6,2,88,3,0,674,1,187,1,1112,2,266,2083,10,27,0,2,5,0,1,1,1,8,3025,3,8,5,1,549,8269,50,0,13,0,3,27,7090,13
"TNC",730,348,13991,212,27804,9883,4124,119689,1730,7773,214,776,13135,195,1675,493,1191,847,1170,1508,1156,0,647,2213,44,1563,179,1670,192,816,267,210,267,245,473,2078,520,1507,999,2432,949,666,9891,499,887,920,467,1084,295,614,752,253,1365,37995,534,484,542,713,4786,16577,3368,3074,352,1085,1661,902,6006,521
"ABCA12",90,13,4,94,2668,41,1814,336,107,3055,10,21,1,8,3330,20,15,6,98,5,45,1,5,907,1,1021,32,16,58,6,4,17,1281,22,25,651,5,220,5,2295,8,17,577,18,19,10,12,16,2,33,32,7,39,1054,4,15,15,12,1760,4736,280,4,26,23,19,250,381,15
"AC002331.1",4,0,0,0,3,5,2,35,0,12,1,3,55,0,14,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,4,0,0,1,24,1,1,19,0,0,0,0,4,0,0,0,0,0,4,0,0,2,1,5,14,21,0,0,0,0,3,6,0
"AC004988.1",1,0,0,0,3,0,3,8,0,6,1,1,102,0,13,7,2,0,0,0,9,0,1,0,0,0,0,1,2,0,0,2,3,2,1,11,1,1,0,24,0,8,4,2,0,0,0,1,0,0,0,0,2,1,0,1,0,0,7,0,1,0,0,0,0,2,5,0
"AC008984.2",0,1,0,0,14,1,14,53,1,9,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,3,3,2,8,1,0,0,6,2,2,18,0,2,0,1,0,0,1,0,0,0,12,0,0,0,0,3,4,5,1,0,0,0,4,6,2
"AC064872.1",1,1,0,1,0,0,0,0,0,8,0,1,0,1,1,1,2,1,0,1,1,0,4,1,1,0,3,36,1,1,0,0,2,0,2,0,0,15,1,1,0,0,0,0,0,0,2,0,0,0,0,15,2,0,1,11,13,0,1,0,5,1,0,3,2,0,0,1
"AC073316.1",3,0,2,1,19,2,18,159,3,27,3,10,33,2,3,3,3,2,2,9,2,0,0,4,1,5,1,6,2,3,0,3,0,2,3,2,2,4,3,2,1,5,12,0,6,8,1,1,2,2,1,2,1,22,2,5,1,0,8,16,7,1,1,6,6,6,22,4
"AC104135.3",24,1,4,1,5,1,50,8,34,20,1,0,0,104,12,11,2,1,17,0,4,0,2,24,0,25,13,0,7,3,16,18,67,19,1,25,4,26,2,7,5,0,39,1,1,1,0,0,0,0,0,5,5,5,0,0,2,0,6,3,33,1,5,7,4,20,27,2
"AC104135.4",43,3,2,5,19,12,99,41,122,77,2,6,3,258,42,58,0,2,26,0,27,0,9,44,11,81,32,2,10,0,27,26,205,53,4,65,3,51,4,32,0,15,76,5,2,1,2,0,0,1,2,21,8,4,3,2,0,7,27,20,34,2,9,4,8,40,73,5
"AC112721.2",4,0,0,0,2,8,4,14,2,10,0,1,12,0,3,1,1,0,5,1,1,0,2,1,0,3,0,0,4,0,0,2,0,0,0,2,0,2,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,6,3,2,0,0,2,2,2,0
"ADAMTS2",344,49,594,39,792,699,1040,4035,234,1416,119,296,9956,31,262,209,245,249,280,249,276,0,117,508,34,169,30,395,143,347,79,71,94,70,177,520,227,477,147,1176,258,327,2173,192,219,187,97,300,94,192,176,64,270,1442,152,149,94,88,998,1107,869,133,68,319,200,390,809,180
"ADAMTS4",139,10,115,20,623,78,835,1465,78,641,20,61,3602,15,219,47,93,29,67,16,93,1,9,398,17,140,10,29,46,33,19,15,78,14,24,568,14,82,28,1144,15,89,3507,42,47,23,7,49,18,14,32,25,19,1385,20,23,17,6,186,747,256,29,16,67,97,102,300,33
"AF165138.7",0,1,0,0,9,0,4,45,6,9,0,2,12,0,2,1,2,0,1,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,1,0,3,1,1,0,3,10,0,3,2,0,3,0,0,3,0,0,8,0,2,0,0,0,10,5,0,0,1,1,1,10,1
"ALDH3B2",10,3,9,4,37,9,47,10,14,7,1,4,4,14,89,22,1,8,16,3,3,0,4,15,6,20,12,5,8,2,8,3,24,7,5,36,0,30,2,22,1,7,29,4,2,3,0,6,1,4,4,0,4,3,2,0,2,6,68,11,28,2,1,5,1,25,47,4
"ALG1L13P",17,0,0,2,61,26,24,106,3,49,6,6,35,4,16,3,5,3,8,1,8,0,1,17,2,10,0,7,16,4,0,9,15,6,4,23,1,2,3,51,5,5,51,6,4,5,0,2,2,1,5,1,1,36,4,0,1,1,15,29,20,12,3,2,3,20,9,10
"ALPL",145,44,133,64,1182,243,845,3312,64,1210,94,93,2643,25,969,81,193,97,167,68,110,14,26,555,61,297,27,180,395,88,170,111,168,269,57,653,48,109,46,1330,92,141,3262,79,178,176,51,145,44,80,42,78,85,1313,58,62,48,20,400,509,507,72,27,91,154,223,639,96
"ANGPTL4",178,21,70,42,615,388,118,322,77,1300,37,64,456,80,7538,57,140,112,256,110,83,0,25,300,27,864,35,91,28,155,29,38,299,37,116,4549,43,307,36,1232,39,58,676,48,74,21,40,115,109,54,105,51,92,491,90,59,66,29,566,322,193,731,21,83,62,286,860,58
