"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4039","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2072","M2084","P6005","P6009","P6012","P6013","P6017","P6018","P6028"
"C10orf111",0,1,2,1,2,3,5,4,4,2,3,4,8,3,10,3,3,2,8,2,8,3,4,3,2,4,4,5,0,4,0,6,3,8,5,1,0,1,2,3,1,6,6,1,3,1,2,0,0,6,6,1,0,3,4,6,10,10,2
"FNDC7",0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,2,0,0,2,0,3,0,0,0,3,1,2,2,0,0,2,1,2,3,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,6,0,3,0
"AC110086.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZC3HAV1",2661,3161,2846,2950,5230,3435,2911,3614,4611,2057,2456,2334,4470,4668,6747,2865,3019,2427,3481,3746,2776,3617,3255,5151,4422,4600,5288,5147,4795,3520,4182,3800,3787,4551,4983,4681,3167,2427,3636,3610,3082,5577,4337,3400,3945,3224,3813,3402,0,3435,4041,4642,3690,3268,2919,6972,4473,4549,4989
"LRRC27",237,227,198,157,298,174,143,191,219,137,155,297,271,245,320,222,124,154,318,187,161,169,175,457,256,247,298,327,200,256,177,252,231,200,328,310,214,170,146,326,152,407,465,212,213,220,167,127,0,223,194,188,257,267,203,350,374,298,269
"RP11-444K7.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-386B13.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DLGAP1-AS1",160,91,64,154,182,104,135,122,106,51,141,73,288,366,278,100,100,76,245,103,97,264,128,279,293,122,192,294,293,279,137,197,110,192,195,249,120,72,83,187,65,255,348,69,166,94,66,148,0,160,134,203,208,186,69,170,195,196,361
"FBXO10",33,45,23,68,131,47,42,46,41,36,107,49,265,96,233,55,33,46,95,69,58,155,106,210,148,75,499,245,203,117,109,90,59,62,78,253,54,59,55,86,42,200,178,42,186,51,43,65,0,63,56,158,140,150,49,173,219,135,189
"SESTD1",3105,3087,2800,2316,3638,2237,2453,2614,3655,1343,2025,2492,2065,2438,3094,2107,2610,2062,1757,2278,2463,2686,1920,2635,3320,3350,3349,2718,2141,2521,3071,2768,3048,3444,5164,2723,2249,1827,2496,2799,2414,2614,2200,3077,2721,2506,2946,1432,0,2667,2857,2215,2331,2274,2177,6629,2656,3402,2138
"RP11-351I21.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-169E6.4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8orf17",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
