"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"glycochenodeoxycholate_C18n_QI56",2065069,837398,6563488,1941201,27871309,1441180,370144,437312,7978802,846725,2178941,133640747,10844649,271852655,1233247,605941,808158,600154,1041778,3637333,1165715,2570269,10648762,1294365,1221705,1782479,207219944,1208926,1665274,11530156,1907001,8102408,114219,1805199,6739554,607642,1442111,613100,2235170,2032751,138158,432044,1055295,1048464,13882694,596902,9416821
"glycocholate_C18n_QI59",3185254,511451,5781576,1349876,58702078,2725341,322033,203570,7627977,500685,1254570,110749011,5146385,203582299,2344589,146750,659820,728643,152871,1939132,900259,451944,10967681,292609,560367,943548,265406538,203546,1258190,35245395,1343338,6790840,1433587,684909,2905998,834458,3937777,859324,731771,2278276,126325,305324,1794504,2449748,13087304,313066,5466465
"taurocholate_C18n_QI65",71890765,461119,2557378,746536,57017149,4853886,283126,374892,70992672,118399,438338,18713641,4078445,142924683,3196713,499498,312207,606630,268042,224989,552574,2804055,28820998,1066544,557884,961039,173847262,300015,472046,19203876,487280,8851895,48569,422958,3407022,693372,21189027,842247,190861,694876,101282,728661,1299196,2602949,4458812,560956,622614169
"_C18n_QI3068",7111,11345,2938,8398,9339,1219,8001,5557,18,44744,12693,264056,13520,36882,13451,4210,11323,11304,7435,30482,4554,66045,8751,7115,8431,4728,20243,24119,9820,16954,4967,9158,182469,11065,5526,2619,11833,3343,6050,6225,42282,6774,5396,7081,8736,6279,6539
"_C18n_QI622",71603,136495,64874,102892,122626,25221,69703,128779,33729,1784969,64768,493956,323162,4007405,223511,68231,192777,192543,138248,466867,138695,613346,160769,425308,79603,57876,3077614,628938,143670,209485,46254,96428,3203491,231981,96012,56206,427279,99731,54285,81680,393348,174846,74157,124882,84977,252333,97190
"_C18n_QI1616",29537,27716,3968,4942,26564,472,9455,28190,6608,419146,7616,38251,4987,977722,50327,20793,40767,13267,36597,9295,11060,58473,103199,215695,14420,17419,1015336,98337,70489,91523,18445,18685,1536120,15172,59674,16800,170109,76246,14374,21493,21774,38706,15207,4911,12800,7603,64470
"_C18n_QI1832",20586,7323,9755,8841,23969,687,18660,13535,7964,33616,1280,299904,105039,1400451,28492,18956,19122,42091,9352,25328,8351,136390,11414,71076,8693,16076,345379,51986,25150,26140,7116,13402,287379,32236,6471,12699,90919,15939,5907,11601,10662,9829,2748,3842,12696,169971,8101
"_C18n_QI472",58811,114185,51699,34086,142407,43331,54253,143059,40224,4286808,62267,461442,512840,873218,246442,62187,168940,125678,106550,740125,151204,1004257,78058,470038,30184,44334,505762,241561,88506,233311,55800,41392,8642620,458064,46625,70588,43238,59374,26474,123675,679101,130360,181034,108014,51492,229373,117334
"_C18n_QI770",30989,44163,27120,17734,20061,45786,33467,29204,8483,135760,8733,605934,150147,2378722,63756,53737,96500,47976,26528,169950,51073,448338,265316,69618,37688,31138,5010512,87742,42614,57965,23032,38478,1467362,16735,21018,45519,1583782,22895,24048,16151,47133,16061,17292,25351,33036,255794,85419
"_C18n_QI1303",884,7768,17480,151,3989,4774,1616,4162,9893,110607,5763,42794,25322,276420,3864,8751,1436,459,3871,12089,6387,12196,9993,4158,3585,2949,669117,2383,5509,5616,9555,2449,243810,13601,7047,19875,256832,11724,1193,1912,14038,3810,18872,11941,1804,4033,102150
