"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"12.13-diHOME_C18n_QI06",470132,1069292,1265301,524759,5745981,200818,1352516,697774,2659745,886144,4300596,1450805,1577140,473635,1063114,790901,623579,1340638,1274585,1350963,3048777,221979,3559837,2770186,1131089,1480631,1989470,3361853,404476,2322948,7904568,1971720,2125668,745046,4944628,975473,1897492,1562773,2481188,6295050,2384194,4071076
"9.10-diHOME_C18n_QI07",416924,1256069,1368667,541578,1260673,45804,1675589,1463883,974412,627537,3419118,872501,1066675,946753,1585741,807011,860876,1440124,731634,1226020,3628155,163493,3417221,2056011,866934,3293516,2557588,2479784,496789,2388903,4721028,4323277,1613974,999101,2955064,648506,1366931,1133721,1503852,4113128,1436963,2909581
"caproate_C18n_QI08",28,773,542,13205,424,199480,578,50655,1032,2656,28497,120,1384,42976,778,73,1610,2880,1031,NA,17,4936,30720,498,76,2553,2177,2625,1627,51832,19937,1892,61,55,4178,54665,9217,33088,2145,1315,897,41
"heptanoate_C18n_QI09",NA,NA,NA,5664,NA,10577,55,29319,NA,174,1365,207,59,2134,NA,NA,NA,NA,NA,NA,NA,2867,582,NA,NA,NA,102,NA,NA,12009,2783,NA,NA,32,64,25715,407,17640,NA,65,NA,197
"hydrocinnamate_C18n_QI10",11781,62098,3235743,1189143,3653962,210870,819507,372749,21054,711371,12922,2410,50460,17096,30430,49571,207292,583156,23190,7985130,12612,444487,36470,102285,2848,170335,227341,855986,1811583,925552,1219670,28041,1622,15973,470743,1588639,938219,814325,1026008,856105,264597,26166
"mandelate_C18n_QI11",6345,5653,10058,8408,17373,7952,10293,6005,6080,6635,9524,19940,16854,4515,4252,11914,4244,5118,4035,5565,1871,9196,5451,9111,5064,6944,14355,118512,8669,34029,10030,8812,2644,14727,3966,5161,17618,4633,13071,17232,5956,8741
"2-hydroxyoctanoate_C18n_TF1",NA,NA,NA,NA,782977,681264,264680,584928,660592,NA,NA,739422,NA,283307,156862,425295,145468,224309,NA,NA,576971,663802,342499,199182,NA,NA,NA,219730,NA,394610,696004,203774,NA,449198,95833,835311,515687,343722,608081,NA,340925,NA
"3-hydroxyoctanoate_C18n_QI12",5257,3628,5165,2902,11456,11379,2535,2909,7392,3014,9529,17899,7498,3809,1569,1633,2568,2111,9884,3231,6645,4386,7790,9182,7775,3593,5961,7084,10387,4424,8053,2816,3121,4801,2349,2274,6314,2107,6072,16656,2945,6648
"caprate_C18n_QI13",29713,9523,25482,264302,25448,39988,13368,618985,16782,29155,216837,96822,17519,3243412,6193,10799,31620,6694,12840,10945,46407,107046,10274,7585,109006,18859,34786,46576,50946,664064,7389880,10473,19438,23547,155137,1023156,7914,448047,65131,22965,37382,39178
"indoleacetate_C18n_QI14",2833,18466,9282,17537,54609,20497,7724,10629,5292,7117,7691,4640,8911,14340,17583,17123,19165,30188,7171,3662,19762,13469,10397,62956,327,12379,69025,25720,1377,37211,66537,33203,1881,16289,15187,30919,10993,16002,13519,21249,29330,9034
