;Rat;Day;Food_intake_(kcal);Body_weight_(g);Food_intake_(kcal/gBW);alpha_diversity;LPSF_T120;HRP_T120
1_HFD0_44C;rat 44;D0;22,99;396,44;0,058;3,438603188;196,3;54,2
1_HFD0_51C;rat 51;D0;48,64;371,34;0,131;3,6452928715;;
1_HFD0_55C;rat 55;D0;26,63;368,63;0,072;3,1883757818;;
1_HFD0_61C;rat 61;D0;27,94;352,3;0,079;3,069002622;357,4;178,8
1_HFD0_72C;rat 72;D0;30,3;381,78;0,079;3,4886334953;161,1;489,5
1_HFD0_81C;rat 81;D0;54,44;399,34;0,136;3,2382201975;269,6;392
3_HF2H_56C;rat 56;2H;59,31;361,96;0,164;3,678251591;73,8;736,8
3_HF2H_57C;rat 57;2H;52,12;362,4;0,144;3,4296077136;37,1;572,1
3_HF2H_58C;rat 58;2H;72,37;367,81;0,197;3,6294048399;81,1;408,3
3_HF2H_65C;rat 65;2H;40,39;376,56;0,107;3,6387647005;119,4;229
3_HF2H_66C;rat 66;2H;16,51;396,4;0,042;3,329099755;95,7;203,7
3_HF2H_67C;rat 67;2H;66,74;390,37;0,171;3,4726189939;76,3;255,6
4_HFD1_43C;rat 43;D1;80,08;440,92;0,182;2,9088714276;233,5;29,5
4_HFD1-46C;rat 46;D1;58,18;371,2;0,157;3,0339245151;;
4_HFD1_47C;rat 47;D1;81,4;391,86;0,208;3,3046999129;;
4_HFD1_52C;rat 52;D1;63,67;371,52;0,171;3,0936807404;;
4_HFD1_54C;rat 54;D1;70,24;446,75;0,157;2,7332680355;294,8;286,1
4_HFD1_73C;rat 73;D1;20,63;361,66;0,057;3,0406551078;325,2;643,6
4_HFD1_75C;rat 75;D1;28,05;342,74;0,082;3,0331663735;191,5;80,1
5_HFD2_48C;rat 48;D2;67,59;388,3;0,174;2,9612765291;;
5_HFD2_49C;rat 49;D2;103,21;380,55;0,271;2,8461508129;;
5_HFD2_62C;rat 62;D2;55,29;377,83;0,146;2,9937472545;164,4;61,9
5_HFD2_64C;rat 64;D2;69,67;407,26;0,171;2,3649464591;134,1;684,1
5_HFD2_70C;rat 70;D2;48,06;372,51;0,129;3,0236117415;;65,9
5_HFD2_79C;rat 79;D2;70,48;404,59;0,174;2,9090125355;121,7;205,5
5_HFD2_80C;rat 80;D2;69,39;374,13;0,185;3,2393882946;;125,9
6_HFD4_42C;rat 42;D4;80,41;425,92;0,189;3,1308502654;;
6_HFD4_45C;rat 45;D4;68,49;394,44;0,174;2,8292951069;;
6_HFD4_53C;rat 53;D4;81,5;411,64;0,198;2,5007314948;;
6_HFD4_63C;rat 63;D4;39,5;373,54;0,106;2,7977268319;134,1;414,6
6_HFD4_69C;rat 69;D4;28,99;411,28;0,07;3,1702889578;164,4;254,7
6_HFD4_76C;rat 76;D4;63,24;401,57;0,157;3,5284613272;110,8;194,4
6_HFD4_77C;rat 77;D4;64,9;411,55;0,158;3,2140922898;85,2;84,5
